English,Turkish
you,sen
i,i
the,en
to,ile
a,a
s,s
it,BT
and,ve
that,o
t,t
of,nın-nin
is,dır-dir
in,içinde
what,ne
we,Biz
me,ben
this,Bu
he,o
for,için
my,benim
on,üzerinde
have,Sahip olmak
your,senin
do,yapmak
was,olmuş
m,m
no,hayır
not,olumsuzluk
be,olmak
are,var olan
don,giymek
re,tekrar
know,bilmek
can,Yapabilmek
with,ile birlikte
but,ancak
all,tüm
so,böyle
just,sadece
there,orada
here,burada
they,onlar
like,beğenmek
ll,LL
get,almak
she,o
go,Git
if,eğer
right,Sağ
out,dışarı
about,hakkında
up,yukarı
at,-den
him,o
now,şimdi
oh,ah
one,bir
come,gelmek
well,kuyu
her,o
how,nasıl
yeah,Evet
ve,Vezik
will,niyet
got,var
want,istek
think,düşünmek
as,olarak
see,görmek
did,yaptı
good,iyi
who,kim
why,Niye
from,itibaren
let,İzin Vermek
his,onun
yes,evet
when,ne zaman
going,gidiyor
time,zaman
an,bir
okay,Tamam
back,geri
look,bakmak
us,biz
would,istemek
them,onlara
where,nerede
were,olmuş
take,almak
then,sonra
had,vardı
or,veya
been,olmuştur
our,bizim
gonna,yapacak
tell,söylemek
really,Gerçekten
man,adam
some,bazı
say,söylemek
hey,hey
could,abilir
d,d
didn,yoktu
by,ile
need,ihtiyaç
something,bir şey
has,sahip olmak
too,fazla
more,daha fazla
way,yol
down,aşağı
make,Yapmak
very,çok
never,asla
only,sadece
people,insanlar
over,üzerinde
because,çünkü
little,biraz
please,lütfen
love,aşk
should,meli
mean,kastetmek
said,söz konusu
sorry,Üzgünüm
give,vermek
off,kapalı
am,Ben
thank,teşekkür
any,hiç
two,iki
even,Bile
much,fazla
doing,yapmak
sure,Elbette
thing,şey
these,bunlar
help,Yardım Edin
first,ilk
into,içine
anything,herhangi bir şey
still,hâlâ
find,bulmak
life,hayat
nothing,hiç bir şey
sir,Sayın
day,gün
god,tanrı
work,iş
their,onların
uh,uh
again,Yeniden
maybe,belki
must,zorunlu
before,önceki
other,başka
wait,Bekle
stop,Dur
call,aramak
after,sonrasında
won,kazanmak
talk,konuşmak
away,uzak
than,hariç
thought,düşünce
home,ev
night,gece
put,koy
great,İyi
those,şunlar
last,geçen
better,daha iyi
everything,her şey
told,söylenmiş
mr.,Bay.
new,yeni
things,şeyler
always,Her zaman
keep,Tut
long,uzun
years,yıllar
leave,ayrılmak
does,yapmak
money,para
around,etrafında
doesn,değil
name,isim
place,yer
ever,durmadan
feel,hissetmek
guys,çocuklar
father,baba
guy,insan
made,yaptı
old,eskimiş
isn,ISN
which,Hangi
big,büyük
